Referencia interna,OFICIAL,VENTAS,SOMOS_PEKES
111567,N/D,MLM547995832,N/D
111568,MLM635890274,MLM547980483,N/D
111570,MLM635890278,MLM548296108,N/D
111571,MLM635890254,MLM548249624,N/D
111572,MLM635890289,MLM547989898,N/D
111574,N/D,MLM546140363,N/D
111575,N/D,MLM546141004,N/D
111576,N/D,MLM546140233,N/D
111577,MLM635889058,MLM546140332,N/D
111578,MLM635889063,MLM545866838,N/D
111579,MLM635889192,MLM546140391,N/D
111580,MLM635889122,MLM540447211,N/D
111613,MLM635890253,MLM546140669,N/D
111614,MLM635890288,MLM543201722,N/D
111615,MLM635889050,MLM546140346,N/D
111616,MLM635889073,MLM546140229,N/D
111617,MLM635889078,MLM546146951,N/D
111618,MLM635889051,MLM546140210,N/D
111619,MLM635890272,MLM546140371,N/D
111620,MLM635889066,MLM546140981,N/D
111621,MLM635889061,MLM546140269,N/D
111622,MLM635889129,MLM545873216,N/D
111689,MLM635889121,MLM546140559,N/D
112136,N/D,MLM542706972,N/D
112191,N/D,MLM542731815,N/D
112310,MLM543978218,MLM541248555,N/D
114138,N/D,MLM541252339,N/D
114505,MLM616440013,MLM540477736,N/D
114508,MLM616440012,MLM540477713,N/D
114510,MLM616440010,MLM547051461,N/D
114512,MLM616439992,MLM540477660,N/D
114513,MLM616439997,MLM541247065,N/D
114515,MLM616440000,MLM541968154,N/D
114518,MLM616440007,MLM554838998,N/D
114531,MLM687857776,MLM543740035,N/D
116521,MLM616582277,MLM540477668,N/D
116522,MLM616582282,MLM540482308,N/D
116523,MLM616582274,MLM541247070,N/D
116529,MLM616582276,MLM540477740,N/D
116531,MLM616582286,MLM540477646,N/D
116532,MLM616582279,MLM540477718,N/D
116533,MLM616582275,MLM540477765,N/D
116583,N/D,MLM541800829,N/D
116592,N/D,MLM541800793,N/D
116651,N/D,MLM544674618,N/D
116660,N/D,MLM544672410,N/D
116703,MLM539711708,MLM539710709,N/D
116705,MLM539802943,MLM539802559,N/D
116802,MLM616603924,MLM540477732,N/D
116906,N/D,MLM544948669,N/D
116927,N/D,MLM545157933,N/D
117009,N/D,MLM544923991,N/D
117011,N/D,MLM544948648,N/D
117502,MLM748737736,MLM548628808,N/D
117503,MLM748622520,MLM540073219,N/D
117504,MLM748625476,MLM549391129,N/D
117505,MLM748376155,MLM544689007,N/D
117509,MLM748393732,MLM544923969,N/D
117510,MLM749174028,MLM544924189,N/D
117511,N/D,MLM540073230,N/D
117516,MLM748590475,MLM544923952,N/D
117519,MLM748341580,MLM544923979,N/D
117521,MLM749174436,MLM547051446,N/D
117524,MLM748314987,MLM545649606,N/D
117527,MLM748090331,MLM541497229,N/D
117530,MLM748336642,MLM544923964,N/D
117533,MLM748371532,MLM544923973,N/D
117536,MLM748101849,MLM624109465,N/D
117538,N/D,N/D,N/D
117545,MLM749173771,MLM546423766,N/D
117546,MLM748725592,MLM544129505,N/D
117551,N/D,MLM543244322,N/D
117554,MLM748307910,MLM699830551,N/D
117558,MLM749192438,MLM546874293,N/D
118103,MLM616428881,MLM540477628,N/D
118106,MLM616428868,MLM543740047,N/D
118109,MLM614513411,MLM542030294,N/D
118127,MLM616428882,MLM540639605,N/D
118139,MLM616428883,MLM540477630,N/D
118160,MLM616428855,MLM545937513,N/D
118161,MLM616428865,MLM542276719,N/D
118166,MLM616428872,MLM540889189,N/D
118167,MLM616428873,MLM543451747,N/D
118172,MLM616428862,MLM540637404,N/D
118173,MLM616428869,MLM543273553,N/D
118178,MLM616428857,MLM546146954,N/D
118184,MLM616428880,MLM540776767,N/D
118555,N/D,MLM545868290,N/D
120118,N/D,MLM545868401,N/D
120209,N/D,MLM543036241,N/D
120212,N/D,MLM556288085,N/D
120215,N/D,MLM556288090,N/D
123103,N/D,MLM544086988,N/D
123110,MLM616431429,N/D,N/D
123206,N/D,N/D,N/D
123220,N/D,MLM541800784,N/D
123262,N/D,N/D,N/D
123272,N/D,MLM549391153,N/D
123275,N/D,MLM545868976,N/D
124103,N/D,MLM548249654,N/D
124107,N/D,MLM549391165,N/D
124110,N/D,MLM547991624,N/D
124136,MLM828717928,MLM828717828,N/D
124160,N/D,MLM545865512,N/D
124187,N/D,MLM545868406,N/D
124188,N/D,MLM545866942,N/D
124518,MLM616603983,MLM540477720,N/D
124521,MLM616603930,MLM540482313,N/D
124524,MLM616603932,MLM544880452,N/D
125203,MLM548408782,MLM544087022,N/D
125204,MLM546639990,MLM546672086,N/D
125205,MLM546477325,MLM546479274,N/D
125206,MLM575499222,MLM569197635,N/D
125208,MLM546646320,MLM546649855,N/D
125209,MLM547343720,MLM547376304,N/D
125212,MLM546659822,MLM545882618,N/D
125213,MLM549682423,MLM547051449,N/D
125214,N/D,N/D,N/D
125220,MLM540715087,MLM542187572,N/D
126136,MLM616421502,MLM545871768,N/D
126138,MLM615675531,MLM545866821,N/D
131506,MLM616592721,MLM540477752,N/D
134108,N/D,MLM544086946,N/D
134114,N/D,MLM544522785,N/D
134116,N/D,MLM544522724,N/D
