Referencia interna,OFICIAL,VENTAS,SOMOS_PEKES
1344DB-URR,MLM593463913,N/D,N/D
1348HD-URR,MLM695650992,N/D,N/D
1348P-URR,N/D,N/D,N/D
1348PN-URR,MLM593463877,N/D,N/D
135010-SUR,MLM604222031,N/D,N/D
135011-SUR,MLM604222630,N/D,N/D
13520-SZ,MLM808614262,MLM799182805,N/D
135905-SUR,MLM682620408,N/D,N/D
135906-SUR,MLM667721486,N/D,N/D
135907-SUR,MLM667721480,N/D,N/D
135909-SUR,MLM682620420,N/D,N/D
135911-SUR,MLM674643964,N/D,N/D
135983-SUR,MLM623141082,N/D,N/D
135984-SUR,MLM623141114,N/D,N/D
135994-SUR,MLM547481982,N/D,N/D
135996-SUR,MLM547482085,N/D,N/D
136-SUR,MLM608125007,N/D,N/D
136001-SUR,MLM547482102,N/D,N/D
136010-SUR,MLM549648761,N/D,N/D
136011-SUR,MLM547483901,N/D,N/D
136012-SUR,MLM549648755,N/D,N/D
136013-SUR,MLM551810931,N/D,N/D
136014-SUR,MLM577031006,N/D,N/D
136029-SUR,MLM548185543,MLM573219607,N/D
136032-SUR,MLM547482171,N/D,N/D
136034-SUR,MLM580031555,N/D,N/D
136035-SUR,MLM549646669,N/D,N/D
136036-SUR,MLM632388076,N/D,N/D
136037-SUR,MLM705739141,N/D,N/D
136040-SUR,MLM547480645,N/D,N/D
136041-SUR,MLM547480977,N/D,N/D
136042-SUR,MLM547480579,N/D,N/D
136043-SUR,MLM547480695,N/D,N/D
136044-SUR,MLM547480725,N/D,N/D
136045-SUR,MLM549646652,N/D,N/D
136046-SUR,MLM549646667,N/D,N/D
136047-SUR,MLM549646679,N/D,N/D
136048-SUR,MLM549646689,N/D,N/D
136049-SUR,MLM549646663,N/D,N/D
136050-SUR,MLM547480629,N/D,N/D
136051-SUR,MLM594539198,N/D,N/D
136052-SUR,MLM594539202,N/D,N/D
136053-SUR,MLM594604907,N/D,N/D
136070-SUR,MLM551840671,N/D,N/D
136071-SUR,MLM551840655,N/D,N/D
136074-SUR,MLM577030926,N/D,N/D
136076-SUR,MLM551840695,N/D,N/D
136077-SUR,MLM551840729,N/D,N/D
136092-SUR,MLM660403524,N/D,N/D
136094-SUR,MLM549741980,N/D,N/D
136095-SUR,MLM549741973,N/D,N/D
136096-SUR,MLM549741971,N/D,N/D
136097-SUR,MLM549741967,N/D,N/D
136107-SUR,MLM548185547,N/D,N/D
136108-SUR,MLM549741206,N/D,N/D
136119-SUR,MLM585595497,N/D,N/D
136120-SUR,MLM547462452,N/D,N/D
136123-SUR,MLM549741994,N/D,N/D
136127-SUR,MLM547462303,N/D,N/D
136130-SUR,MLM564920205,N/D,N/D
136131-SUR,MLM585586296,N/D,N/D
136132-SUR,MLM640883271,N/D,N/D
136133-SUR,MLM564920216,N/D,N/D
136134-SUR,MLM547462630,N/D,N/D
136135-SUR,MLM547462329,N/D,N/D
136137-SUR,MLM585595559,N/D,N/D
136140-SUR,MLM547476411,N/D,N/D
136141-SUR,MLM547476320,N/D,N/D
136142-SUR,MLM547476443,N/D,N/D
136143-SUR,MLM547476321,N/D,N/D
136144-SUR,MLM547476426,N/D,N/D
136145-SUR,MLM547476412,N/D,N/D
136146-SUR,MLM547476356,N/D,N/D
136148-SUR,MLM547476305,N/D,N/D
136149-SUR,MLM547477012,N/D,N/D
136150-SUR,MLM547480550,N/D,N/D
136151-SUR,MLM547480578,N/D,N/D
136152-SUR,MLM547480690,N/D,N/D
136153-SUR,MLM547476338,N/D,N/D
136155-SUR,MLM547476306,N/D,N/D
136156-SUR,MLM547476365,N/D,N/D
136157-SUR,MLM547476398,N/D,N/D
136158-SUR,MLM547476400,N/D,N/D
136159-SUR,MLM547476303,N/D,N/D
136160-SUR,MLM547476750,N/D,N/D
136170-SUR,MLM548186281,N/D,N/D
136171-SUR,MLM548186289,N/D,N/D
136172-SUR,MLM547480654,N/D,N/D
136173-SUR,MLM547480658,N/D,N/D
136174-SUR,MLM547480969,N/D,N/D
136175-SUR,MLM547480656,N/D,N/D
1362-URR,MLM768085270,N/D,N/D
136200-SUR,MLM551840683,N/D,N/D
136201-SUR,MLM551840744,N/D,N/D
136202-SUR,MLM551840658,N/D,N/D
136204-SUR,MLM551840662,N/D,N/D
136205-SUR,MLM551840703,N/D,N/D
136220-SUR,MLM547444654,N/D,N/D
136221-SUR,MLM547444643,N/D,N/D
136222-SUR,MLM547444692,N/D,N/D
1362T-URR,MLM593464747,N/D,N/D
1362XS-URR,MLM593464763,N/D,N/D
1363-URR,MLM593463960,N/D,N/D
1363T-URR,MLM593464746,N/D,N/D
1363XS-URR,MLM593464754,N/D,N/D
1364-URR,MLM593463959,N/D,N/D
136400-SUR,MLM551634005,N/D,N/D
136401-SUR,MLM551633901,N/D,N/D
136402-SUR,MLM551633932,N/D,N/D
136403-SUR,MLM551633902,N/D,N/D
136404-SUR,MLM551633916,N/D,N/D
136406-SUR,MLM551633920,N/D,N/D
136407-SUR,MLM551633914,N/D,N/D
136409-SUR,MLM551633887,N/D,N/D
136410-SUR,MLM551633918,N/D,N/D
136411-SUR,MLM551633893,N/D,N/D
136412-SUR,MLM551633922,N/D,N/D
136415-SUR,MLM551633892,N/D,N/D
136416-SUR,MLM551633989,N/D,N/D
136418-SUR,MLM551633933,N/D,N/D
136419-SUR,MLM551633930,N/D,N/D
136421-SUR,MLM551633996,N/D,N/D
136422-SUR,MLM551633913,N/D,N/D
136450-SUR,MLM577030963,N/D,N/D
1364T-URR,MLM593464751,N/D,N/D
1364XS-URR,MLM593464757,N/D,N/D
136503-SUR,MLM551754048,N/D,N/D
136504-SUR,MLM551754026,N/D,N/D
136505-SUR,MLM551754078,N/D,N/D
136506-SUR,MLM551754082,N/D,N/D
136507-SUR,MLM551754049,N/D,N/D
136508-SUR,MLM551754072,N/D,N/D
136509-SUR,MLM551754076,N/D,N/D
136550-SUR,MLM551642242,N/D,N/D
136551-SUR,MLM551642176,N/D,N/D
136552-SUR,MLM551642216,N/D,N/D
136553-SUR,MLM551642222,N/D,N/D
136554-SUR,MLM551642223,N/D,N/D
136555-SUR,MLM551642225,N/D,N/D
136556-SUR,MLM551642230,N/D,N/D
136558-SUR,MLM551642186,N/D,N/D
136559-SUR,MLM551642190,N/D,N/D
136560-SUR,MLM551642231,N/D,N/D
136564-SUR,MLM551642226,N/D,N/D
136567-SUR,MLM551642209,N/D,N/D
1366-URR,MLM593464003,N/D,N/D
136600-SUR,MLM551823543,N/D,N/D
136601-SUR,MLM551823659,N/D,N/D
136602-SUR,MLM551840708,N/D,N/D
136603-SUR,MLM551825189,N/D,N/D
136607-SUR,MLM551770154,N/D,N/D
136608-SUR,MLM551825275,N/D,N/D
136610-SUR,MLM551770101,N/D,N/D
136612-SUR,MLM551793444,N/D,N/D
136613-SUR,MLM551793378,N/D,N/D
136650-SUR,MLM551793306,N/D,N/D
136651-SUR,MLM551793302,N/D,N/D
136652-SUR,MLM551793328,N/D,N/D
136653-SUR,MLM551793431,N/D,N/D
136654-SUR,MLM551796601,N/D,N/D
136655-SUR,MLM551793325,N/D,N/D
136656-SUR,MLM551793276,N/D,N/D
136657-SUR,MLM551793471,N/D,N/D
136658-SUR,MLM551796626,N/D,N/D
136662-SUR,MLM551793456,N/D,N/D
136663-SUR,MLM551796533,N/D,N/D
136664-SUR,MLM551796621,N/D,N/D
136665-SUR,MLM551793480,N/D,N/D
136666-SUR,MLM551796607,N/D,N/D
136667-SUR,MLM551796557,N/D,N/D
136668-SUR,MLM551793292,N/D,N/D
136669-SUR,MLM551793304,N/D,N/D
136670-SUR,MLM551793404,N/D,N/D
136671-SUR,MLM551793447,N/D,N/D
136672-SUR,MLM551796575,N/D,N/D
136673-SUR,MLM551793418,N/D,N/D
136674-SUR,MLM551793477,N/D,N/D
136675-SUR,MLM551796576,N/D,N/D
136676-SUR,MLM551796590,N/D,N/D
136677-SUR,MLM551796534,N/D,N/D
136678-SUR,MLM551793482,N/D,N/D
136679-SUR,MLM585596303,N/D,N/D
136681-SUR,MLM551793409,N/D,N/D
1367-URR,MLM767905382,N/D,N/D
136710-SUR,MLM580023568,N/D,N/D
136711-SUR,MLM551800353,N/D,N/D
136713-SUR,MLM580023624,N/D,N/D
136714-SUR,MLM551800340,N/D,N/D
136715-SUR,MLM551800326,N/D,N/D
136721-SUR,N/D,N/D,N/D
136730-SUR,MLM585588838,N/D,N/D
136731-SUR,MLM585592465,N/D,N/D
136755-SUR,MLM551738084,N/D,N/D
136756-SUR,MLM835578628,N/D,N/D
136770-SUR,MLM604218460,N/D,N/D
136771-SUR,MLM604218450,N/D,N/D
136772-SUR,MLM604218481,N/D,N/D
1368-URR,MLM593464005,N/D,N/D
136802-SUR,MLM551732907,N/D,N/D
136803-SUR,MLM551732928,N/D,N/D
136804-SUR,MLM551732906,N/D,N/D
136805-SUR,MLM551732923,N/D,N/D
136806-SUR,MLM551732943,N/D,N/D
136810-SUR,MLM577018937,N/D,N/D
136811-SUR,MLM577018933,N/D,N/D
136812-SUR,MLM577018941,N/D,N/D
136813-SUR,MLM577018943,N/D,N/D
136814-SUR,MLM577018947,N/D,N/D
136815-SUR,MLM577018954,N/D,N/D
136816-SUR,MLM577018952,N/D,N/D
136817-SUR,MLM577018960,N/D,N/D
136818-SUR,MLM577018939,N/D,N/D
136819-SUR,MLM577018924,N/D,N/D
136820-SUR,MLM577018938,N/D,N/D
136825-SUR,MLM580013391,N/D,N/D
136826-SUR,MLM580013388,N/D,N/D
136828-SUR,MLM580013393,N/D,N/D
136829-SUR,MLM630851990,N/D,N/D
136831-SUR,MLM580013398,N/D,N/D
136832-SUR,MLM580013360,N/D,N/D
136834-SUR,MLM580013381,N/D,N/D
136835-SUR,MLM580013378,N/D,N/D
136839-SUR,MLM580013387,N/D,N/D
136840-SUR,MLM597309254,N/D,N/D
136841-SUR,MLM597309199,N/D,N/D
136850-SUR,MLM547474193,N/D,N/D
136851-SUR,MLM547474213,N/D,N/D
136852-SUR,MLM547474174,N/D,N/D
136853-SUR,MLM547474261,N/D,N/D
136854-SUR,MLM585592462,N/D,N/D
136855-SUR,MLM585592440,N/D,N/D
1368B-URR,MLM767905414,N/D,N/D
1368G-URR,MLM593464021,N/D,N/D
136910-SUR,MLM577015695,N/D,N/D
136911-SUR,MLM577015684,N/D,N/D
136913-SUR,MLM577015663,N/D,N/D
136914-SUR,MLM577015672,N/D,N/D
136915-SUR,MLM577015729,N/D,N/D
136917-SUR,MLM577015679,N/D,N/D
136918-SUR,MLM577015727,N/D,N/D
136919-SUR,MLM577015705,N/D,N/D
136920-SUR,MLM577015669,N/D,N/D
136921-SUR,MLM577015718,N/D,N/D
136922-SUR,MLM577015690,N/D,N/D
136923-SUR,MLM577015693,N/D,N/D
136925-SUR,MLM577015664,N/D,N/D
136926-SUR,MLM577016444,N/D,N/D
136927-SUR,MLM577015697,N/D,N/D
136928-SUR,MLM577015707,N/D,N/D
136929-SUR,MLM577015682,N/D,N/D
136933-SUR,MLM577015676,N/D,N/D
136934-SUR,MLM577015677,N/D,N/D
136935-SUR,MLM577015651,N/D,N/D
136936-SUR,MLM577015688,N/D,N/D
136937-SUR,MLM577015653,N/D,N/D
136938-SUR,MLM577015691,N/D,N/D
136940-SUR,MLM630842752,N/D,N/D
136941-SUR,MLM630842637,N/D,N/D
136942-SUR,MLM630842580,N/D,N/D
136943-SUR,MLM630842996,N/D,N/D
136944-SUR,MLM630842579,N/D,N/D
136945-SUR,MLM630842751,N/D,N/D
136946-SUR,MLM630842775,N/D,N/D
136947-SUR,MLM630842804,N/D,N/D
136948-SUR,MLM630842749,N/D,N/D
136949-SUR,MLM630842613,N/D,N/D
136950-SUR,MLM630842747,N/D,N/D
136951-SUR,MLM630842759,N/D,N/D
136952-SUR,MLM604216681,N/D,N/D
136953-SUR,MLM604216678,N/D,N/D
136954-SUR,MLM604216742,N/D,N/D
136955-SUR,MLM604216734,N/D,N/D
136956-SUR,MLM612628925,N/D,N/D
136957-SUR,MLM612628945,N/D,N/D
136958-SUR,MLM612628977,N/D,N/D
136966-SUR,MLM646458080,N/D,N/D
136967-SUR,MLM646458085,N/D,N/D
136968-SUR,MLM646458088,N/D,N/D
136969-SUR,MLM646458067,N/D,N/D
136970-SUR,MLM646458086,N/D,N/D
136971-SUR,MLM646458087,N/D,N/D
137000-SUR,N/D,N/D,N/D
137021-SUR,MLM569164377,N/D,N/D
137022-SUR,MLM569164374,N/D,N/D
137024-SUR,MLM569164378,N/D,N/D
137040-SUR,MLM569164382,N/D,N/D
137041-SUR,MLM587355762,N/D,N/D
137050-SUR,MLM569175557,N/D,N/D
137052-SUR,MLM585595579,N/D,N/D
137053-SUR,MLM585595574,N/D,N/D
137060-SUR,MLM551796549,N/D,N/D
137061-SUR,MLM551796548,N/D,N/D
137066-SUR,MLM624722299,N/D,N/D
137067-SUR,MLM624722306,N/D,N/D
137068-SUR,MLM624722302,N/D,N/D
137069-SUR,MLM624722295,N/D,N/D
137070-SUR,MLM549626949,N/D,N/D
137071-SUR,MLM630874715,N/D,N/D
137073-SUR,MLM549626931,N/D,N/D
137074-SUR,MLM551605566,N/D,N/D
137079-SUR,MLM594433557,N/D,N/D
137083-SUR,MLM580030077,N/D,N/D
137084-SUR,MLM580023581,N/D,N/D
137087-SUR,MLM580023585,N/D,N/D
137088-SUR,MLM580023552,N/D,N/D
137091-SUR,MLM587257230,N/D,N/D
137092-SUR,MLM587257206,N/D,N/D
137093-SUR,MLM587257176,N/D,N/D
137094-SUR,MLM587257208,N/D,N/D
137110-SUR,MLM569164390,N/D,N/D
137111-SUR,MLM569164379,N/D,N/D
137112-SUR,MLM587257212,N/D,N/D
137120-SUR,MLM569175560,N/D,N/D
137122-SUR,MLM580030081,N/D,N/D
137187-SUR,MLM608311045,N/D,N/D
137188-SUR,MLM608311034,N/D,N/D
137212-SUR,MLM577030970,N/D,N/D
137213-SUR,MLM577030932,N/D,N/D
137214-SUR,MLM577030980,N/D,N/D
137215-SUR,MLM577030934,N/D,N/D
137220-SUR,MLM577030946,N/D,N/D
137221-SUR,MLM577030959,N/D,N/D
137222-SUR,MLM594433542,N/D,N/D
137223-SUR,MLM604209492,N/D,N/D
137224-SUR,MLM594433535,N/D,N/D
137225-SUR,MLM594433559,N/D,N/D
137285-SUR,MLM624723320,MLM768009574,N/D
137286-SUR,MLM623139359,MLM768009574,N/D
137288-SUR,MLM623139368,N/D,N/D
137289-SUR,MLM623139352,N/D,N/D
137291-SUR,MLM623141568,N/D,N/D
137297-SUR,MLM579938373,N/D,N/D
137298-SUR,MLM579938377,N/D,N/D
137299-SUR,MLM579938428,N/D,N/D
137300-SUR,MLM579938432,MLM791160852,N/D
137301-SUR,MLM579938386,N/D,N/D
137302-SUR,MLM579938371,N/D,N/D
137304-SUR,MLM547474395,N/D,N/D
137305-SUR,MLM580036161,N/D,N/D
137308-SUR,MLM551739124,N/D,N/D
137309-SUR,MLM551739121,N/D,N/D
137310-SUR,MLM551739098,N/D,N/D
137311-SUR,MLM630871278,N/D,N/D
137312-SUR,MLM551739111,N/D,N/D
137313-SUR,MLM630871271,N/D,N/D
137320-SUR,MLM551800393,N/D,N/D
137321-SUR,MLM551800310,N/D,N/D
137323-SUR,MLM551830596,N/D,N/D
137324-SUR,MLM551830703,N/D,N/D
137325-SUR,MLM551830540,N/D,N/D
137326-SUR,MLM551830613,N/D,N/D
137327-SUR,MLM580031575,N/D,N/D
137328-SUR,MLM587770323,N/D,N/D
137331-SUR,MLM551739089,N/D,N/D
137334-SUR,MLM551800338,N/D,N/D
137336-SUR,MLM569157962,N/D,N/D
137337-SUR,MLM644250769,N/D,N/D
137338-SUR,MLM644250776,N/D,N/D
137339-SUR,MLM585592441,N/D,N/D
137341-SUR,MLM585592446,N/D,N/D
137345-SUR,MLM551823243,N/D,N/D
137347-SUR,N/D,N/D,N/D
137351-SUR,MLM551814273,N/D,N/D
137352-SUR,MLM551814293,N/D,N/D
137353-SUR,MLM551739122,N/D,N/D
137354-SUR,MLM551739084,N/D,N/D
137355-SUR,MLM551739094,N/D,N/D
137356-SUR,MLM551739144,N/D,N/D
137357-SUR,MLM551739118,N/D,N/D
137367-SUR,MLM579938376,N/D,N/D
137368-SUR,MLM579938369,N/D,N/D
137369-SUR,MLM579938387,N/D,N/D
137372-SUR,MLM580031558,N/D,N/D
137373-SUR,MLM580031580,N/D,N/D
137374-SUR,MLM580031566,N/D,N/D
137375-SUR,MLM551741407,N/D,N/D
137376-SUR,MLM551747798,N/D,N/D
137377-SUR,MLM551747784,N/D,N/D
137378-SUR,MLM551747938,N/D,N/D
137380-SUR,MLM551776137,N/D,N/D
137382-SUR,MLM551776104,N/D,N/D
137383-SUR,MLM551776149,N/D,N/D
137384-SUR,MLM551776170,N/D,N/D
137385-SUR,MLM551785879,N/D,N/D
137386-SUR,MLM551776294,N/D,N/D
137387-SUR,MLM551776122,N/D,N/D
137388-SUR,MLM551785885,N/D,N/D
137389-SUR,MLM551785862,N/D,N/D
137390-SUR,MLM551785872,N/D,N/D
137394-SUR,MLM551776089,N/D,N/D
137395-SUR,MLM551776106,N/D,N/D
137396-SUR,MLM551776115,N/D,N/D
137397-SUR,MLM551776284,N/D,N/D
137398-SUR,MLM551776132,N/D,N/D
137399-SUR,MLM551776161,N/D,N/D
137400-SUR,MLM551785852,N/D,N/D
137401-SUR,MLM551785861,N/D,N/D
137402-SUR,MLM551785832,N/D,N/D
137403-SUR,MLM551776136,N/D,N/D
137404-SUR,MLM551785898,N/D,N/D
137405-SUR,MLM551776176,N/D,N/D
137406-SUR,MLM551785893,N/D,N/D
137407-SUR,MLM551785877,N/D,N/D
137409-SUR,MLM551776103,N/D,N/D
137410-SUR,MLM551776135,N/D,N/D
137411-SUR,MLM551776083,N/D,N/D
137412-SUR,MLM551776121,N/D,N/D
137413-SUR,MLM551776084,N/D,N/D
137414-SUR,MLM551776165,N/D,N/D
137415-SUR,MLM551776112,N/D,N/D
137416-SUR,MLM594604928,N/D,N/D
137417-SUR,MLM594539508,N/D,N/D
137418-SUR,MLM594539509,N/D,N/D
137420-SUR,MLM551602654,N/D,N/D
137421-SUR,MLM551602668,N/D,N/D
137422-SUR,MLM551602665,N/D,N/D
137423-SUR,MLM551602667,N/D,N/D
137424-SUR,MLM551602662,N/D,N/D
137425-SUR,MLM551602531,N/D,N/D
137426-SUR,MLM551602660,N/D,N/D
137427-SUR,MLM551602653,N/D,N/D
137430-SUR,MLM551732917,N/D,N/D
137431-SUR,MLM551732947,N/D,N/D
137432-SUR,MLM551794550,N/D,N/D
137440-SUR,MLM551602650,N/D,N/D
137441-SUR,MLM551602663,N/D,N/D
137442-SUR,MLM551602634,N/D,N/D
137443-SUR,MLM551602544,N/D,N/D
137450-SUR,MLM547462644,N/D,N/D
137451-SUR,MLM547462869,N/D,N/D
137452-SUR,MLM547462866,N/D,N/D
137453-SUR,MLM585595495,N/D,N/D
137454-SUR,MLM585595614,N/D,N/D
137455-SUR,MLM585595513,N/D,N/D
137456-SUR,MLM585595593,N/D,N/D
137459-SUR,MLM562022982,N/D,N/D
137461-SUR,MLM580018922,N/D,N/D
137462-SUR,MLM580018923,N/D,N/D
137463-SUR,MLM580018918,N/D,N/D
137464-SUR,MLM580018878,N/D,N/D
137481-SUR,MLM569108285,N/D,N/D
137482-SUR,MLM569126565,N/D,N/D
137483-SUR,MLM569126578,N/D,N/D
137484-SUR,MLM569126600,N/D,N/D
137485-SUR,MLM569126559,N/D,N/D
137486-SUR,MLM569126570,N/D,N/D
137487-SUR,MLM569126577,N/D,N/D
137488-SUR,MLM569126592,N/D,N/D
137489-SUR,MLM569126608,N/D,N/D
137490-SUR,MLM569126606,N/D,N/D
137491-SUR,MLM594537113,N/D,N/D
137492-SUR,MLM594537123,N/D,N/D
137493-SUR,MLM594537129,N/D,N/D
137494-SUR,MLM594537109,N/D,N/D
137495-SUR,MLM594433540,N/D,N/D
137496-SUR,MLM623136805,N/D,N/D
137497-SUR,MLM623136803,N/D,N/D
137498-SUR,MLM623136801,N/D,N/D
137499-SUR,MLM623136806,N/D,N/D
137500-SUR,MLM551823516,N/D,N/D
137501-SUR,MLM551823507,N/D,N/D
137502-SUR,MLM551823518,N/D,N/D
137503-SUR,MLM551823497,N/D,N/D
137504-SUR,MLM551823538,N/D,N/D
137505-SUR,MLM551823477,N/D,N/D
137506-SUR,MLM551823493,N/D,N/D
137507-SUR,MLM551823554,N/D,N/D
137508-SUR,MLM618756188,N/D,N/D
137509-SUR,MLM594539504,N/D,N/D
137510-SUR,MLM569108284,N/D,N/D
137511-SUR,MLM569108295,N/D,N/D
137512-SUR,MLM569108282,N/D,N/D
137513-SUR,MLM569108269,N/D,N/D
137514-SUR,MLM569108281,N/D,N/D
137515-SUR,MLM569108289,N/D,N/D
137516-SUR,MLM569108298,N/D,N/D
137517-SUR,MLM569108300,N/D,N/D
137518-SUR,MLM569108301,N/D,N/D
137519-SUR,MLM569108297,N/D,N/D
137520-SUR,MLM551639028,N/D,N/D
137521-SUR,MLM551639013,N/D,N/D
137522-SUR,MLM551639002,N/D,N/D
137523-SUR,MLM551639013,N/D,N/D
137524-SUR,MLM551639023,N/D,N/D
137525-SUR,MLM551639030,N/D,N/D
137526-SUR,MLM551639030,N/D,N/D
137526-SUR-FUL,MLM549648722,N/D,N/D
137527-SUR,MLM551639030,N/D,N/D
137528-SUR,MLM549648767,N/D,N/D
137528-SUR-FUL,MLM549648767,N/D,N/D
137529-SUR,MLM569136935,N/D,N/D
137530-SUR,MLM569136935,N/D,N/D
137531-SUR,MLM569136935,N/D,N/D
137532-SUR,MLM569136935,N/D,N/D
137533-SUR,MLM569136940,N/D,N/D
137534-SUR,MLM569136940,N/D,N/D
137535-SUR,MLM569136940,N/D,N/D
137536-SUR,MLM569136940,N/D,N/D
137537-SUR,MLM569136945,N/D,N/D
137538-SUR,MLM618756216,N/D,N/D
137539-SUR,MLM618756190,N/D,N/D
137540-SUR,MLM618756195,N/D,N/D
137541-SUR,MLM594604909,N/D,N/D
137542-SUR,MLM594604933,N/D,N/D
137543-SUR,MLM594539517,N/D,N/D
137544-SUR,MLM594539506,N/D,N/D
137545-SUR,MLM594539515,N/D,N/D
137546-SUR,MLM594539487,N/D,N/D
137547-SUR,MLM594539516,N/D,N/D
137548-SUR,MLM623136787,N/D,N/D
137549-SUR,MLM623136804,N/D,N/D
137550-SUR,MLM551612058,N/D,N/D
137551-SUR,MLM551612078,N/D,N/D
137552-SUR,MLM549626932,N/D,N/D
137553-SUR,MLM549626958,N/D,N/D
137554-SUR,MLM549626945,N/D,N/D
137555-SUR,MLM549626941,N/D,N/D
137556-SUR,MLM551612076,N/D,N/D
137557-SUR,MLM551612052,N/D,N/D
137558-SUR,MLM549626926,N/D,N/D
137559-SUR,MLM549626938,N/D,N/D
137560-SUR,MLM549626930,N/D,N/D
137561-SUR,MLM549626955,N/D,N/D
137562-SUR,MLM549626933,N/D,N/D
137563-SUR,MLM551612084,N/D,N/D
137564-SUR,MLM551612062,N/D,N/D
137565-SUR,MLM551612068,N/D,N/D
137566-SUR,MLM551612086,N/D,N/D
137567-SUR,MLM551612104,N/D,N/D
137568-SUR,MLM551612096,N/D,N/D
137569-SUR,MLM551612073,N/D,N/D
137570-SUR,MLM551612081,N/D,N/D
137572-SUR,MLM577030947,N/D,N/D
137574-SUR,MLM577030919,N/D,N/D
137577-SUR,MLM594429728,N/D,N/D
137578-SUR,MLM594429721,N/D,N/D
137579-SUR,MLM594429680,N/D,N/D
137580-SUR,MLM594429679,N/D,N/D
137581-SUR,MLM594429685,N/D,N/D
137582-SUR,MLM594429733,N/D,N/D
137583-SUR,MLM594429722,N/D,N/D
137584-SUR,MLM594429683,N/D,N/D
137585-SUR,MLM594429687,N/D,N/D
137586-SUR,MLM594429682,N/D,N/D
137587-SUR,MLM594429704,N/D,N/D
137588-SUR,MLM594429699,N/D,N/D
137589-SUR,MLM667721479,N/D,N/D
137590-SUR,MLM667721551,N/D,N/D
137591-SUR,MLM667721476,N/D,N/D
137592-SUR,MLM667721478,N/D,N/D
137593-SUR,MLM667721482,N/D,N/D
137594-SUR,MLM667721452,N/D,N/D
137600-SUR,MLM580018898,N/D,N/D
137601-SUR,MLM580018894,N/D,N/D
137605-SUR,MLM594537102,N/D,N/D
137606-SUR,MLM594433537,N/D,N/D
137607-SUR,MLM594433534,N/D,N/D
137608-SUR,MLM594433522,N/D,N/D
137611-SUR,MLM612628964,N/D,N/D
137612-SUR,MLM612628963,N/D,N/D
137613-SUR,MLM612628951,N/D,N/D
137614-SUR,MLM612628963,N/D,N/D
137615-SUR,MLM612628971,N/D,N/D
137616-SUR,MLM612628947,N/D,N/D
137617-SUR,MLM612628971,N/D,N/D
137618-SUR,MLM612628971,N/D,N/D
137619-SUR,MLM612628954,N/D,N/D
137620-SUR,MLM594433521,N/D,N/D
137621-SUR,MLM594433546,N/D,N/D
137622-SUR,MLM594433539,N/D,N/D
137623-SUR,MLM594604900,N/D,N/D
137650-SUR,MLM594429694,N/D,N/D
137651-SUR,MLM594605893,N/D,N/D
137652-SUR,MLM594605863,N/D,N/D
137653-SUR,MLM594605857,N/D,N/D
137656-SUR,MLM594605861,N/D,N/D
137657-SUR,MLM594433544,N/D,N/D
137658-SUR,MLM594605894,N/D,N/D
137659-SUR,MLM594605890,N/D,N/D
137660-SUR,MLM612628956,N/D,N/D
137661-SUR,MLM612628962,N/D,N/D
137662-SUR,MLM612628978,N/D,N/D
137668-SUR,MLM612628952,N/D,N/D
137669-SUR,MLM612628943,N/D,N/D
137670-SUR,MLM612628970,N/D,N/D
137676-SUR,MLM612628960,N/D,N/D
137677-SUR,MLM612628941,N/D,N/D
137678-SUR,MLM612628955,N/D,N/D
137684-SUR,MLM612628972,N/D,N/D
137690-SUR,MLM641481797,N/D,N/D
137691-SUR,MLM641481812,N/D,N/D
137692-SUR,MLM641481812,N/D,N/D
137693-SUR,MLM641481789,N/D,N/D
137694-SUR,MLM641481812,N/D,N/D
137695-SUR,MLM641481791,N/D,N/D
137696-SUR,MLM641481791,N/D,N/D
137697-SUR,MLM641481791,N/D,N/D
137698-SUR,MLM641481791,N/D,N/D
137700-SUR,MLM596367847,N/D,N/D
137701-SUR,MLM596367918,N/D,N/D
137702-SUR,MLM596367921,N/D,N/D
137703-SUR,MLM596367884,N/D,N/D
137704-SUR,MLM596367939,N/D,N/D
137705-SUR,MLM596367942,N/D,N/D
137706-SUR,MLM596367911,N/D,N/D
137707-SUR,MLM596367842,N/D,N/D
137708-SUR,MLM596367841,N/D,N/D
137709-SUR,MLM596367919,N/D,N/D
137710-SUR,MLM596367924,N/D,N/D
137711-SUR,MLM596367851,N/D,N/D
137712-SUR,MLM596367869,N/D,N/D
137713-SUR,MLM596367848,N/D,N/D
137714-SUR,MLM596367853,N/D,N/D
137715-SUR,MLM596367907,N/D,N/D
137716-SUR,MLM596367923,N/D,N/D
137717-SUR,MLM596367925,N/D,N/D
137718-SUR,MLM596367844,N/D,N/D
137720-SUR,MLM596367949,N/D,N/D
137722-SUR,MLM596367850,N/D,N/D
137790-SUR,MLM608138128,N/D,N/D
137791-SUR,MLM608250388,N/D,N/D
137792-SUR,MLM608250342,N/D,N/D
137793-SUR,MLM608250350,N/D,N/D
137794-SUR,MLM608250349,N/D,N/D
137795-SUR,MLM608250341,N/D,N/D
137796-SUR,MLM608138139,N/D,N/D
137797-SUR,MLM608250332,N/D,N/D
137798-SUR,MLM608250343,N/D,N/D
137799-SUR,MLM608138172,N/D,N/D
137800-SUR,MLM608250340,N/D,N/D
137801-SUR,MLM608250348,N/D,N/D
137820-SUR,MLM594605860,N/D,N/D
137821-SUR,MLM594605884,N/D,N/D
137822-SUR,MLM594605889,N/D,N/D
